,ds_id,name,group,submitter,is_public,polarity,organism,organism_part,condition,source,raw_source,analyzer,raw_analyzer,matrix,raw_matrix,solvent,raw_solvent,rp,fdr5,fdr10,fdr20,fdr50,batch_grouping,matrix_solvent,rp_range,batch_weight
2680,2016-09-30_15h23m06s,ICL//BRB15W,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,21,254,3,64,2016-09-30_15h22m17s,Other Solvent,medium,0.041666666666666664
2682,2016-09-30_15h18m54s,ICL//BRB03W2,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,144,93,16,47,2016-09-30_15h22m17s,Other Solvent,medium,0.041666666666666664
2683,2016-09-30_15h19m18s,ICL//BRB05C,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,141,128,,57,2016-09-30_15h24m39s,Other Solvent,medium,0.09090909090909091
2684,2016-09-30_15h21m13s,ICL//BRB11E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,121,203,18,67,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2685,2016-09-30_15h22m10s,ICL//BRB14S,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,124,153,,58,2016-09-30_15h19m47s,Other Solvent,medium,0.043478260869565216
2686,2016-09-30_15h19m42s,ICL//BRB06N,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,83,189,47,83,2016-09-30_15h22m06s,Other Solvent,medium,0.041666666666666664
2687,2016-09-30_15h18m58s,ICL//BRB04E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,166,42,,42,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2688,2016-09-30_15h19m23s,ICL//BRB05N,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,127,24,,26,2016-09-30_15h22m06s,Other Solvent,medium,0.041666666666666664
2689,2016-09-30_15h19m47s,ICL//BRB06S,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,184,110,15,70,2016-09-30_15h19m47s,Other Solvent,medium,0.043478260869565216
2690,2016-09-30_15h21m17s,ICL//BRB11S,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,26,259,164,151,2016-09-30_15h19m47s,Other Solvent,medium,0.043478260869565216
2691,2016-09-30_15h22m20s,ICL//BRB15D,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,61,140,13,53,2016-09-30_15h23m38s,Other Solvent,medium,0.09090909090909091
2692,2016-09-30_15h22m32s,ICL//BRB15E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,76,135,20,63,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2693,2016-09-21_16h07m00s,ICL//BRB06W,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,109,189,91,116,2016-09-30_15h22m17s,Other Solvent,medium,0.041666666666666664
2694,2016-09-30_15h21m20s,ICL//BRB12D,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,103,122,89,112,2016-09-30_15h23m38s,Other Solvent,medium,0.09090909090909091
2695,2016-09-30_15h20m01s,ICL//BRB07E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,11,45,410,57,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2696,2016-09-30_15h21m24s,ICL//BRB12E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,65,201,126,133,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2697,2016-09-30_15h19m26s,ICL//BRB05S,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,104,112,2,54,2016-09-30_15h19m47s,Other Solvent,medium,0.043478260869565216
2698,2016-09-30_15h23m12s,ICL//BRB16E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,101,43,,25,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2700,2016-09-30_15h23m38s,ICL//BRB17D,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,143,36,,,2016-09-30_15h23m38s,Other Solvent,medium,0.09090909090909091
2701,2016-09-30_15h23m40s,ICL//BRB17E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,3,103,3,28,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2702,2016-09-30_15h23m44s,ICL//BRB17S,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,2,159,17,36,2016-09-30_15h19m47s,Other Solvent,medium,0.043478260869565216
2704,2016-09-30_15h23m57s,ICL//BRB19C,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,3,175,6,48,2016-09-30_15h24m39s,Other Solvent,medium,0.09090909090909091
2705,2016-09-30_15h19m50s,ICL//BRB06W,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,154,169,18,92,2016-09-30_15h22m17s,Other Solvent,medium,0.041666666666666664
2706,2016-12-13_13h56m07s,ICL//LNTO39_7_2,ICL,James McKenzie,True,Negative,human,lymph node,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,140000.0,203,77,,58,2016-12-13_13h52m01s,Other Solvent,medium,0.013157894736842105
2707,2016-09-30_15h25m09s,ICL//BRB28S,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,12,207,153,114,2016-09-30_15h19m47s,Other Solvent,medium,0.043478260869565216
2709,2016-09-30_15h18m37s,ICL//BRB01N,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,5,104,10,,2016-09-30_15h22m06s,Other Solvent,medium,0.041666666666666664
2710,2016-09-30_15h24m03s,ICL//BRB19S,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,5,173,6,45,2016-09-30_15h19m47s,Other Solvent,medium,0.043478260869565216
2711,2016-09-30_15h24m08s,ICL//BRB19W,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,92,45,2,36,2016-09-30_15h22m17s,Other Solvent,medium,0.041666666666666664
2712,2016-09-30_15h24m12s,ICL//BRB21E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,63,220,123,137,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2713,2016-09-30_15h18m34s,ICL//BRB01E,ICL,James McKenzie,True,Negative,human,breast,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,100000.0,81,167,13,79,2016-09-30_15h21m38s,Other Solvent,medium,0.045454545454545456
2714,2016-10-01_12h05m22s,ICL//A14 CT S2-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,254,158,300,82,2016-10-01_12h23m21s,Other Solvent,low,0.025
2715,2016-10-01_12h25m14s,ICL//A64 CT S2-centroid,ICL,James McKenzie,True,Negative,human,colon,diseased,ESI,DESI,Orbitrap,Orbitrap,Other,none,Other,,70000.0,213,243,392,94,2016-10-01_12h23m21s,Other Solvent,low,0.025
2716,2017-05-22_14h17m44s,100314_Echin_Esco2_NoPseudo_centroids,U Wisconsin-Madison,Erin Gemperline,True,Positive,acromyrmex echinatior,thorax exoskeleton,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,84852.81374238571,35,211,435,1801,2017-05-22_14h17m44s,DHB,medium,1.0
2718,2017-05-22_14h49m59s,ST-Esco2_centroids,U Wisconsin-Madison,Erin Gemperline,True,Positive,pseudonocardia bacteria,agar growth,"infected, escovopsis",MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,84852.81374238571,55,103,320,830,2017-05-22_14h49m59s,DHB,medium,0.5
2719,2017-05-22_14h53m51s,082115_ST-Pseudo_centroids,U Wisconsin-Madison,Erin Gemperline,True,Positive,pseudonocardia bacteria,agar growth,control,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,84852.81374238571,37,33,163,624,2017-05-22_14h53m51s,DHB,medium,1.0
2721,2017-03-14_05h57m36s,20170221_rat_bpyn-pos-reg1,U Melbourne,Dinaiz Thinagaran,True,Positive,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,BPYN,Other,,720000.0,62,46,61,,2017-03-14_05h57m36s,Other Matrix,high,0.3333333333333333
2723,2017-03-14_06h00m36s,20170221_rat_dan-neg-reg1,U Melbourne,Dinaiz Thinagaran,True,Negative,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DAN,"1,5-diaminonaphthalene (DAN)",Other,,720000.0,83,53,2,41,2017-03-14_06h00m36s,DAN,high,0.3333333333333333
2724,2017-03-14_06h04m25s,20170221_rat_dan-pos-reg6,U Melbourne,Dinaiz Thinagaran,True,Positive,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DAN,"1,5-diaminonaphthalene (DAN)",Other,,720000.0,55,30,,,2017-03-14_06h04m25s,DAN,high,0.3333333333333333
2725,2017-03-14_06h02m25s,20170221_rat_dan-pos-reg4,U Melbourne,Dinaiz Thinagaran,True,Positive,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,DAN,"1,5-diaminonaphthalene (DAN)",Other,,720000.0,53,15,9,,2017-03-14_06h04m25s,DAN,high,0.3333333333333333
2736,2017-03-14_05h54m15s,20170221_rat_bpyn-neg-reg6,U Melbourne,Dinaiz Thinagaran,True,Negative,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,BPYN,Other,,720000.0,70,57,45,36,2017-03-14_05h52m52s,Other Matrix,high,0.5
2737,2017-03-14_05h52m52s,20170221_rat_bpyn-neg-reg5,U Melbourne,Dinaiz Thinagaran,True,Negative,rat,brain,wildtype,MALDI,MALDI,FTICR,FTICR,Other,BPYN,Other,,720000.0,89,57,39,34,2017-03-14_05h52m52s,Other Matrix,high,0.5
2738,2017-05-31_11h51m56s,May30_coronal_brain_DESIneg,Waters,Emrys Jones,True,Negative,rat,brain,wildtype,ESI,DESI,TOF,qTOF,Other,none,Other,,30000.0,42,37,233,836,2017-05-31_11h51m56s,Other Solvent,low,1.0
2740,2017-05-31_14h17m03s,inra_rapeseed_stem_01,U Rennes 1,LAVIGNE Régis,True,Positive,brassica napus (rapeseed),stem,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,13,16,121,921,2017-05-31_14h17m03s,DHB,high,1.0
2754,2017-06-16_17h28m01s,muspl_recalib_full,MSRC - Vanderbilt University,Heath Patterson,True,Negative,mouse,spleen,control,MALDI,MALDI,FTICR,FTICR,DAN,"1,5-diaminonaphthalene (DAN)",Other,,195000.0,63,43,3,19,2017-06-16_17h28m01s,DAN,medium,1.0
2763,2017-06-22_09h13m13s,MALDI_brain_2xNADEL_aFT_430ms,SpectroSwiss,Nagornov Spectroswiss,True,Positive,rat,brain,n/a,MALDI,MALDI,FTICR,FTICR,Other,none,Other,,400000.0,38,23,56,376,2017-06-22_09h13m13s,Other Matrix,high,1.0
2764,2017-06-22_12h21m24s,20170622_LR_U13_DAN_p70_s40,♡EMBL♡,Luca Rappez,True,Negative,human,liver,"cancer, hcc",MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,,140000.0,9,19,62,380,2017-06-24_20h38m32s,DAN,medium,0.16666666666666666
2766,2017-06-23_14h01m14s,20170622_LR_T12_DAN_p85_s40,♡EMBL♡,Luca Rappez,True,Negative,human,liver,"cancer, hcc",MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,,140000.0,7,39,87,526,2018-03-23_12h03m33s,DAN,medium,0.1111111111111111
2767,2017-06-23_16h58m35s,20170622_LR_U11_DAN_p85_s40,♡EMBL♡,Luca Rappez,True,Negative,human,liver,"cancer, hcc",MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,,140000.0,8,13,39,567,2017-06-24_20h38m32s,DAN,medium,0.16666666666666666
2773,2017-06-28_16h26m05s,20170622_LR_L11_DAN_p85_s40,♡EMBL♡,Luca Rappez,True,Negative,human,liver,"cancer, hcc",MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,,140000.0,6,11,56,993,2018-03-23_12h00m16s,DAN,medium,0.2
2783,2017-07-07_07h37m30s,140621_mos_lipids_tlc_maldi_rms,U Melbourne,Dinaiz Thinagaran,True,Positive,n/a,n/a,n/a,MALDI,MALDI,FTICR,FTICR,Other,N/A,Other,,200000.0,66,62,13,56,2017-07-07_07h37m30s,Other Matrix,medium,1.0
2786,2017-07-11_11h29m36s,100um_noM2_001_Recal,M4I,Shane Ellis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,Other,none,339411.25496954285,47,118,551,2002,2017-07-11_11h29m36s,Norharmane,high,1.0
2789,2017-07-13_09h32m36s,slide271_animal305_rat kidney_tic,Boehringer Ingelheim,Michael Becker,True,Positive,rat,kidney,control,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,409558.5,12,13,92,834,2017-07-14_06h30m38s,DHB,high,0.04
2795,2017-07-14_10h11m25s,Muscle subregions after treatment 2,Sanofi FF DMPK,József Pánczél,True,Positive,rat,muscle,treated,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,280000.0,39,41,8,10,2017-07-14_10h12m09s,DHB,high,0.5
2796,2017-07-14_10h12m09s,Muscle subregions after treatment 3,Sanofi FF DMPK,József Pánczél,True,Positive,rat,muscle,treated,MALDI,MALDI,Orbitrap,Orbitrap,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,280000.0,59,26,3,,2017-07-14_10h12m09s,DHB,high,0.5
2800,2016-09-22_11h16m11s,Brain02_Bregma1-42_02,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),Other,,260000.0,32,68,85,51,2016-09-22_11h16m28s,CHCA,high,0.25
2801,2016-09-22_11h16m33s,Brain02_Bregma-1-46,U Rennes 1,LAVIGNE Régis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,FTICR,FTICR,CHCA,alpha-cyano-4-hydroxycinnamic acid (CHCA),Other,,260000.0,43,45,132,156,2016-09-22_11h16m09s,CHCA,high,0.5
2804,2017-07-18_10h11m46s,epik_dhb_head_ito03_16,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,61,90,269,361,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2805,2017-07-18_10h12m23s,epik_dhb_head_ito03_17,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,66,120,229,360,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2806,2017-07-18_10h12m54s,epik_dhb_head_ito03_18,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,60,91,259,359,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2807,2017-07-18_14h12m05s,20170718_ADP-CGL_VATPspot2_DAN-DD_50x50_50x50,♡EMBL♡,Cristina Gonzalez Lopez,True,Negative,n/a,n/a,n/a,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,,140000.0,6,25,25,148,2017-07-19_14h17m13s,DAN,medium,0.25
2808,2017-07-18_17h21m08s,100um_M2_003_Recal,M4I,Shane Ellis,True,Positive,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,Norharmane,Norharmane,Other,none,280000.0,47,15,129,2937,2017-07-18_17h21m08s,Norharmane,high,1.0
2810,2017-07-20_14h23m17s,epik_dhb_head_ito08_47,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,71,92,269,308,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2811,2017-07-21_09h18m17s,epik_dhb_head_ito01_01,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,55,104,224,319,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2812,2017-07-21_09h19m20s,epik_dhb_head_ito01_04,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,68,86,257,311,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2813,2017-07-21_09h23m08s,epididymis_head_43,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,63,96,268,341,2017-07-21_09h23m08s,DHB,high,1.0
2814,2017-07-21_14h46m19s,epik_dhb_head_ito08_48,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,66,111,231,321,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2815,2017-07-21_14h46m39s,epik_dhb_head_ito01_06,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,81,89,215,337,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2820,2017-07-27_08h59m06s,336_90_1_-rms2,HMGU,Achim Buck,True,Negative,human,epithelial cells,cancer,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,9,46,34,846,2017-07-27_08h59m06s,9AA,low,1.0
2826,2017-07-31_12h54m18s,04 - root mean square,HMGU,Na Sun,True,Negative,mouse,whole organism,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,21,45,55,382,2017-07-31_12h54m18s,9AA,low,1.0
2827,2017-08-01_07h40m37s,epik_dhb_head_ito07_38,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,84,84,339,340,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2828,2017-08-01_07h41m18s,epik_dhb_head_ito07_39,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,88,69,300,331,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2829,2017-08-01_07h42m41s,epik_dhb_head_ito07_41,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,90,77,309,306,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2830,2017-08-01_07h44m05s,epik_dhb_head_ito06_31,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,78,82,312,294,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2831,2017-08-01_07h45m52s,epik_dhb_head_ito06_33,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,88,76,269,311,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2832,2017-08-01_07h46m52s,epik_dhb_head_ito06_34,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,72,99,230,338,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2833,2017-08-01_07h50m05s,epik_dhb_head_ito02_08,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,88,85,241,305,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2834,2017-08-01_07h51m06s,epik_dhb_head_ito02_010,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,59,83,258,346,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2835,2017-08-01_07h51m51s,epik_dhb_head_ito02_11,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,63,108,240,307,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2836,2017-08-01_07h52m24s,epik_dhb_head_ito02_12,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,66,94,253,290,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2839,2017-08-02_00h07m28s,170801_NEG_Diseased_09-040_bpyn_rms,U Melbourne,Dinaiz Thinagaran,True,Negative,human,brain,diseased,MALDI,MALDI,FTICR,FTICR,Other,BPYN,Other,,260000.0,66,71,98,208,2017-08-09_01h24m04s,Other Matrix,high,0.5
2840,2017-08-02_00h09m50s,170801_NEG_CTR_04-273_bpyn_rms,U Melbourne,Dinaiz Thinagaran,True,Negative,human,brain,healthy,MALDI,MALDI,FTICR,FTICR,Other,BPYN,Other,,260000.0,24,69,135,151,2017-08-10_06h56m24s,Other Matrix,high,0.3333333333333333
2842,2017-08-03_12h25m10s,region20170803 - root mean square,HMGU,Na Sun,True,Negative,mouse,whole organism,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,70000.0,8,53,82,687,2017-08-01_12h11m21s,9AA,low,0.5
2846,2017-08-04_12h32m36s,epik_dhb_head_ito05_25,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,69,87,337,423,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2847,2017-08-04_12h33m17s,epik_dhb_head_ito05_26,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,50,112,352,349,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2848,2017-08-04_12h35m23s,epik_dhb_head_ito05_29,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,80,71,321,332,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2849,2017-08-04_12h38m34s,epik_dhb_head_ito09_50,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,64,103,208,343,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2850,2017-08-04_15h32m31s,0879deeper_50,UM Baltimore,Claire Carter,True,Negative,human,mln,control,MALDI,MALDI,FTICR,FTICR,9AA,9-aminoacridine (9AA),Other,,380000.0,5,20,164,619,2017-08-04_15h32m31s,9AA,high,1.0
2851,2017-08-07_09h33m31s,20170807_CGL_MT-M.B_DAN012_20x21_100x100,♡EMBL♡,Cristina Gonzalez Lopez,True,Negative,mouse,brain,wildtype,MALDI,MALDI,Orbitrap,Orbitrap,DAN,"1,5-diaminonaphthalene (DAN)",Other,,140000.0,6,11,30,70,2017-08-07_09h33m31s,DAN,medium,1.0
2853,2017-08-08_09h04m28s,epik_dhb_head_ito10_53,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,64,117,230,347,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2854,2017-08-08_09h05m39s,epik_dhb_head_ito11_55,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,68,86,251,304,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2855,2017-08-08_14h05m38s,epik_dhb_head_ito04_19,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,63,115,302,343,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2856,2017-08-08_14h27m05s,epik_dhb_head_ito04_21,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,82,105,274,356,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
2857,2017-08-08_14h28m01s,epik_dhb_head_ito04_22,U Rennes 1,LAVIGNE Régis,True,Positive,rat,epididymis,wildtype,MALDI,MALDI,FTICR,FTICR,DHB,"2,5-dihydroxybenzoic acid (DHB)",Other,,260000.0,74,89,290,349,2017-07-18_10h12m54s,DHB,high,0.016666666666666666
