ions,moleculeNames
C93H146O17P2-H-,"CL(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
C27H40O2-H-,beta-Micropteroxanthin
C44H72O17-H-,Capsicoside C2
C85H148O17P2-H-,"CL(20:4(5Z,8Z,11Z,14Z)/18:0/20:4(5Z,8Z,11Z,14Z)/18:1(9Z))"
C87H152O17P2-H-,"CL(20:4(5Z,8Z,11Z,14Z)/18:0/22:5(7Z,10Z,13Z,16Z,19Z)/18:0)"
C4H6O5+K+,D-Malic acid
C30H48O3+Na+,3-Epimasticadienolic acid
C30H28O15+H+,"6-{[6,12-bis(3,4-dihydroxyphenyl)-13-hydroxy-4-oxo-3,11-dioxatricyclo[8.4.0.0²,⁷]tetradeca-1,7,9-trien-8-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C4H6O5+Na+,D-Malic acid
CH3O5P+K+,Foscarnet
C30H60O+K+,(±)-2-Nonylheneicosanal
C43H32O10+H+,"3-(4-hydroxy-3-methoxyphenyl)-11,19-bis(4-hydroxyphenyl)-4,12,20-trioxaheptacyclo[16.6.1.1²,⁵.1¹⁰,¹³.0²¹,²⁵.0⁹,²⁷.0¹⁷,²⁶]heptacosa-1(25),5,7,9(27),13,15,17(26),21,23-nonaene-7,15,23-triol"
C31H28O14+H+,"4''-Methyl-6''-(3,4-dihydroxy-E-cinnamoyl)isoorientin"
C26H28O16+H+,"6-[(3-{[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-5-hydroxy-2-(3-hydroxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-7-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"
C27H20O13+H+,Epitheaflagallin 3-O-gallate
C21H18O13+H+,"6-{[2-(3,4-dihydroxyphenyl)-5,6-dihydroxy-4-oxo-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C27H52O4+K+,MG(24:1(15Z)/0:0/0:0)
C4H6O6+K+,"2,3-Dihydroxybutanedioic acid"
C28H56O2+K+,"10-Octacosene-1,12-diol"
C37H56O3+Na+,"2-Hexaprenyl-6-methoxy-1,4-benzoquinol"
C30H26O13+H+,"6-{[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-3-yl]oxy}-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl (2E)-3-(4-hydroxyphenyl)prop-2-enoate"
C36H30O17+H+,"6-({3-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-8-yl]-5-hydroxy-2-(4-hydroxyphenyl)-4-oxo-3,4-dihydro-2H-1-benzopyran-7-yl}oxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C23H46O4+K+,MG(0:0/i-20:0/0:0)
C20H24O7+K+,alpha-Peroxyachifolide
C21H24O2+Na+,Gestrinone
C13H12O9+K+,Cis-Caffeoyl tartaric acid
C21H36O11+K+,"Linalool 3,7-oxide beta-primeveroside"
C16H16O6S+Na+,{4-[3-(4-methoxyphenyl)-3-oxopropyl]phenyl}oxidanesulfonic acid
C35H40O23+Na+,Luteolin 7-O-(2-apiosyl-4-glucosyl-6-malonyl)-glucoside
C28H32O14+K+,"5-hydroxy-7-methoxy-2-phenyl-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one"
C33H56O+Na+,Lansiol
C14H26O6+K+,1-Octen-3-yl glucoside
C20H18O13S+H+,"(2-{[5,7-dihydroxy-2-(3-hydroxyphenyl)-4-oxo-4H-chromen-3-yl]oxy}-4-hydroxy-5-(hydroxymethyl)oxolan-3-yl)oxidanesulfonic acid"
C15H10O7+K+,"5,7-dihydroxy-3-(2,4,5-trihydroxyphenyl)-4H-chromen-4-one"
C10H20O7+K+,"2,3-Butanediol glucoside"
C15H12O11S+H+,"{5-[2,3-dioxo-3-(2,3,4,6-tetrahydroxyphenyl)propyl]-2-hydroxyphenyl}oxidanesulfonic acid"
C19H20O11+H+,"3-Glucosyl-2,3',4,4',6-pentahydroxybenzophenone"
C17H22O7+Na+,O-Acetylcyclocalopin A
C18H15NO4+Na+,Piperolactam C
C15H18O12+K+,Dimethyl 2-galloylgalactarate
C21H22O11+Na+,"3,4,5-trihydroxy-6-[(3,4,7-trihydroxy-2-phenyl-3,4-dihydro-2H-1-benzopyran-5-yl)oxy]oxane-2-carboxylic acid"
C9H13N3O6+Na+,Mizoribine
C30H60O2+K+,Melissic acid A
C22H30O14+K+,"4,5-dihydroxy-6-(hydroxymethyl)-2-[(3,4,5,6-tetrahydroxyoxan-2-yl)methoxy]oxan-3-yl 3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate"
C15H31O7P+Na+,LysoPA(i-12:0/0:0)
C6H10O6+K+,D-Arabino-hexos-2-ulose
C17H14O6+K+,"5-hydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-4H-chromen-4-one"
C13H16O9+H+,"3,4,5-trihydroxy-6-(2-hydroxy-6-methoxyphenoxy)oxane-2-carboxylic acid"
C60H96O6+K+,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/15:0/22:5(7Z,10Z,13Z,16Z,19Z))"
C32H48O5+Na+,3alpha-Acetoxy-11-keto-beta-boswellic acid
C21H14O17S+H+,"3-[3,4-dihydroxy-5-(2,3,4,5-tetrahydroxybenzoyloxy)benzoyloxy]-5-hydroxy-4-(sulfooxy)benzoic acid"
C12H16O8S+H+,"[3-(6,7-dimethoxy-2H-1,3-benzodioxol-5-yl)propoxy]sulfonic acid"
C12H12O6+H+,"3-(4,7-dimethoxy-2H-1,3-benzodioxol-5-yl)prop-2-enoic acid"
C2H5O5P+K+,Phosphonoacetate
C15H28O4+Na+,"7(14)-Bisabolene-2,3,10,11-tetrol"
C36H34O17+H+,"6-(5-{8-[2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-yl]-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl}-2-hydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C19H26N2S+Na+,Pergolide
C5H10O6+K+,L-Xylonate
C36H34O17+Na+,"6-(5-{8-[2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-yl]-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl}-2-hydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C27H20O11+H+,Melitric acid B
C24H24O12+Na+,"3,4,5-trihydroxy-6-[4-(5-hydroxy-7-methoxy-8-methyl-4-oxo-4H-chromen-3-yl)-2-methoxyphenoxy]oxane-2-carboxylic acid"
C38H22O7+K+,4'-Hydroxyanigorootin
C11H12OS+K+,2-(Methylthiomethyl)-3-phenyl-2-propenal
C20H20N6O9S+H+,Latamoxef
C8H10O6+Na+,Ethyl aconitate
C37H36N2O11+Na+,Citbismine C
C18H24O14+K+,"6-{3,5-dihydroxy-4-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]phenoxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C16H16O4S+K+,[3-(4-phenylbut-1-en-2-yl)phenyl]oxidanesulfonic acid
C17H18O9+Na+,"3,5,7-trihydroxy-2-(1-hydroxy-3-methoxy-4-oxocyclohexyl)-6-methoxy-4H-chromen-4-one"
C26H36O12+Na+,Sambacin
C7H8OS+K+,2-Acetyl-3-methylthiophene
C8H8O3+K+,"4-[(E)-2-hydroxyethenyl]benzene-1,2-diol"
C3H7O7P+K+,(2R)-2-Hydroxy-3-(phosphonatooxy)propanoate
C22H18O11+Na+,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-3-yl 2,3,4,5-tetrahydroxybenzoate"
C21H14O16S+H+,"3-[3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyloxy)benzoyloxy]-5-hydroxy-4-(sulfooxy)benzoic acid"
C13H16O10+K+,"2,3,5-trihydroxy-6-(hydroxymethyl)oxan-4-yl 3,4,5-trihydroxybenzoate"
C8H5F3O3+Na+,2-Hydroxy-4-trifluoromethyl benzoic acid
C26H31N3O9S+K+,2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-{[1-hydroxy-3-(4-methoxyphenyl)-3-oxo-1-phenylpropan-2-yl]sulfanyl}ethyl}-C-hydroxycarbonimidoyl)butanoic acid
C18H24N2O11S2+H+,"1,4-Dimethoxyglucobrassicin"
C18H24O12+K+,Licoagroside B
C8H10O6+K+,Ethyl aconitate
C30H26O14+Na+,"(6-{[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4-oxo-4H-chromen-3-yl]oxy}-3,4,5-trihydroxyoxan-2-yl)methyl (2E)-3-(4-hydroxyphenyl)prop-2-enoate"
C21H22BrFN4O2+K+,N-Desmethyl vandetanib
C26H24O11+Na+,"6-(4-{8,8-dimethyl-2-oxo-2H,8H-pyrano[2,3-f]chromen-3-yl}-3-hydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C36H60O9+K+,Ginsenoside Rh8
C29H58O+K+,(-)-1-Cyclohexyl-4-tricosanol
C15H12O9S+H+,"[4-(5,6,7-trihydroxy-4-oxo-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid"
C17H14O10+Na+,"3,4,5-trihydroxy-6-({7-oxo-7H-furo[3,2-g]chromen-4-yl}oxy)oxane-2-carboxylic acid"
C15H16O13+Na+,"3,4,5-trihydroxy-6-{[2-oxo-3-(2,3,4,5-tetrahydroxyphenyl)propanoyl]oxy}oxane-2-carboxylic acid"
C7H14N2O4Se+Na+,L-Selenocystathionine
C8H6O5+Na+,"2-(2,4-dihydroxyphenyl)-2-oxoacetic acid"
C23H20O5+Na+,Cinnatriacetin A
C11H6O5+Na+,"4,8-dihydroxy-2H-furo[2,3-h]chromen-2-one"
C30H28O15+Na+,"6-{[6,12-bis(3,4-dihydroxyphenyl)-13-hydroxy-4-oxo-3,11-dioxatricyclo[8.4.0.0²,⁷]tetradeca-1,7,9-trien-8-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C11H14O6S+K+,{[4-(4-hydroxy-3-methoxyphenyl)but-3-en-2-yl]oxy}sulfonic acid
C12H14O9+K+,"6-(2,3-dihydroxyphenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C17H12Cl2N2O+K+,(±)-Fenarimol
C30H38O5+K+,Iloprost
C29H43O2+H+,alpha-Tocotrienoxyl radical
C6H6O3+K+,"benzene-1,2,4-triol"
C27H32O16+K+,"6-{3,5-dihydroxy-4-[3-(3-hydroxyphenyl)propanoyl]-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]phenoxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C22H36O13+H+,6-O-Oleuropeoylsucrose
C26H24O14+H+,"3,4,5-trihydroxy-6-({11,17,18-trimethoxy-13-oxo-6,8,20-trioxapentacyclo[10.8.0.0²,⁹.0³,⁷.0¹⁴,¹⁹]icosa-1(12),2(9),4,10,14(19),15,17-heptaen-15-yl}oxy)oxane-2-carboxylic acid"
C6H10O5+H+,2-Hydroxy-2-ethylsuccinic acid
C20H22O11S+Na+,"{4-[(E)-2-(3-hydroxy-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)ethenyl]phenyl}oxidanesulfonic acid"
C31H29NO9+K+,Neoacrimarine K
C2H5O6P+Na+,Phosphoglycolic acid
C6H8O4+K+,Maleic acid homopolymer
C30H33O20+H+,Delphinidin 3-(6''-malonylglucoside) 5-glucoside
C11H10O7+Na+,Benzoyl meso-tartaric acid
C31H29O16S+H+,"{[6-({3-[3,5-dimethoxy-4-(sulfooxy)phenyl]-11-hydroxy-7-(4-oxocyclohexa-2,5-dien-1-ylidene)-2,8-dioxatricyclo[7.3.1.0⁵,¹³]trideca-1(12),3,5,9(13),10-pentaen-4-yl}oxy)-3,4,5-trihydroxyoxan-2-yl]methyl}oxidanium"
C30H36O11+K+,"5alpha-Ethoxy-6beta-hydroxy-5,6-dihydrophysalin B"
C32H54O+Na+,"(3beta,24(241)Z)-24-Ethylidenelanost-9(11)-en-3-ol"
C16H12O9S+H+,"[3-(3,5-dihydroxy-7-methoxy-4-oxo-4H-chromen-2-yl)phenyl]oxidanesulfonic acid"
C5H11NO4S+K+,Acamprosate
C27H26O16+H+,"6-{[6-(3,4-dihydroxy-6-methyl-5-oxooxan-2-yl)-2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C13H17ClN2O2+Na+,Moclobemide
C10H13N4O9P+Na+,5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide(2-)
C12H23NO9S3+K+,Glucoerucin
C16H13ClO7+H+,Petunidin
C30H46O3+K+,Masticadienonic acid
C46H78O4+Na+,3-Hexadecanoyloleanolic acid
C12H9NaO+K+,Dowicide A
C9H14O2S3+H+,2-Propenyl 3-(2-propenylsulfonyl)-1-propenyl disulfide
C27H22O12+H+,Melitric acid A
C8H12N2O4Pt+H+,Oxaliplatin
C27H35N3O6+K+,"N1,N10-Diferuloylspermidine"
C43H82O5+K+,DG(24:0/0:0/16:1n7)
C15H13ClO6+K+,6-Chlorocatechin
C20H19NO6+K+,Ochratoxin B
C34H40N4O4+K+,Adouetine Y
C29H58O2+K+,Nonacosanoic acid
C8H14O8+K+,"3,4,5-trihydroxy-6-(2-hydroxyethoxy)oxane-2-carboxylic acid"
C7H8S+K+,Methyl phenyl sulfide
C16H10N2O3+K+,Dehydroxymethylflazine
C20H24O6+K+,6'-O-Formylmarmin
C20H18O14+Na+,"3,4,5,11,14,20,21,22-octahydroxy-13-(hydroxymethyl)-9,12,16-trioxatetracyclo[16.4.0.0²,⁷.0¹⁰,¹⁵]docosa-1(22),2,4,6,18,20-hexaene-8,17-dione"
C4H9NO3S+K+,(S)C(S)S-S-Methylcysteine sulfoxide
C11H18N2O5S2+Na+,L-gamma-Glutamyl-S-allylthio-L-cysteine
C15H13O10S+H+,(-)-Epigallocatechin sulfate
C6H10O7+K+,"3,4,5,6-tetrahydroxyoxane-2-carboxylic acid"
C16H10O5+K+,Pseudobaptigenin
C21H24O9S+K+,"[10-(but-3-enoyl)-5-hydroxy-2,2-dimethyl-8-oxo-6-propyl-2H,3H,4H,8H-pyrano[3,2-g]chromen-3-yl]oxidanesulfonic acid"
C11H19NO9S2+K+,Gluconapin
C10H16O2S2+Na+,"Hexahydro-2',3alpha-dimethylspiro[1,3-dithiolo[4,5-b]furan-2,3'(2'H)-furan]"
C6H8O9S+H+,Ascorbic acid-2-sulfate
C14H10N2O6+K+,Olsalazine
C33H28O17+H+,Maclurin 3-C-(2''-p-hydroxybenzoyl-6''-galloyl-glucoside)
C27H26N2O7S2+Na+,C.I. Acid Green 50
C22H22O13S+H+,"({3,4,5-trihydroxy-6-[5-hydroxy-2-(3-hydroxyphenyl)-7-methoxy-4-oxo-4H-chromen-6-yl]oxan-2-yl}methoxy)sulfonic acid"
C29H31N3O13S+H+,"2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-({5-hydroxy-11,15-dimethoxy-13-oxo-6,8,20-trioxapentacyclo[10.8.0.0²,⁹.0³,⁷.0¹⁴,¹⁹]icosa-1(12),2(9),10,14,16,18-hexaen-4-yl}sulfanyl)ethyl}-C-hydroxycarbonimidoyl)butanoic acid"
C4H11O2PS2+K+,Diethyldithiophosphate
C36H54O3+Na+,"(3b,24R,25x)-26-Benzoyloxystigmast-5-ene-3-ol"
C30H28O9+Na+,"8-[1-(2,4-dihydroxyphenyl)-2-hydroxy-3-(3-hydroxyphenyl)propyl]-2-(3-hydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol"
C8H11NO4S+Na+,Tyramine-O-sulfate
C31H50O+Na+,Coffeasterene
C29H30O17+K+,"3,4,5-Trimethoxyphenyl 2,6-digalloylglucoside"
C12H12N2OS2+K+,Sinalbin B
C7H11NO5S+Na+,S-(3-oxo-3-carboxy-n-propyl)cysteine
C3H7O6P+K+,Dihydroxyacetone phosphate
C14H18O10+H+,Methyl 6-O-galloyl-beta-D-glucopyranoside
C19H16O17S+K+,"6-[7,8-dihydroxy-3,5-dioxo-9-(sulfooxy)-1H,2H,3H,5H-cyclopenta[c]isochromene-1-carbonyloxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"
C16H17N5O4S+K+,Azidocillin
C10H11NO6+K+,"2-{[(2,4-dihydroxy-5-methoxyphenyl)(hydroxy)methylidene]amino}acetic acid"
C44H32O22+Na+,Samarangenin B
C21H20Cl2O3+K+,Permethrin
C15H18O9+Na+,"3,4,5-trihydroxy-6-[4-hydroxy-2-(3-hydroxyprop-1-en-1-yl)phenoxy]oxane-2-carboxylic acid"
C38H58O3+Na+,"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinol"
C15H18O3+K+,Loxoprofen
C9H12FN2O8P+H+,5-Fluorodeoxyuridine monophosphate
C29H50O2+K+,4α-hydroxymethyl-4β-methyl-5α-cholesta-8-en-3β-ol
C16H16N2O6S2+H+,Cefalotin
C8H9NO5S+Na+,Benzeneacetamide-4-O-sulphate
C13H9ClO+K+,Chlorohydrin
C8H9NO5+K+,(S)-alpha-Amino-4-carboxy-3-furanpropanoic acid
C9H10N2O3S2+K+,Ethoxzolamide
C55H90O+K+,Arachisprenol 11
C17H12O8+K+,"5-hydroxy-11-methoxy-6,8,19-trioxapentacyclo[10.7.0.0²,⁹.0³,⁷.0¹³,¹⁷]nonadeca-1(12),2(9),10,13(17)-tetraene-4,16,18-trione"
C12H10F3N3O4+K+,Nilutamide
C28H54O2+K+,"11,13-Octacosanedione"
C27H32O10+K+,"3,4,5-trihydroxy-6-{4-[1-hydroxy-3-(5-methoxy-2,2-dimethyl-2H-chromen-6-yl)propyl]phenoxy}oxane-2-carboxylic acid"
C35H62O4+K+,Diepomuricanin A
C20H19ClO8+K+,"7-chloro-2-(4-hydroxy-3-methoxyphenyl)-3,5,6,8-tetramethoxy-4H-chromen-4-one"
C21H26O3+H+,Acitretin
C9H12N3O7P+Na+,2'-deoxycytidine 3'-monophosphate
C18H24O8S2+K+,"17-Beta-Estradiol-3,17-beta-sulfate"
C16H20O2+K+,2-methyl-2-(4-methylpent-3-en-1-yl)-2H-chromen-8-ol
C33H38O22+H+,"6-{[2-(3,4-dihydroxyphenyl)-7-hydroxy-4-oxo-3,6-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C13H14O9+H+,"6-(2H-1,3-benzodioxol-5-yloxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C20H16O5+Na+,"3,5-dihydroxy-8,8-dimethyl-2-phenyl-4H,8H-pyrano[2,3-f]chromen-4-one"
C11H17NO8S+K+,a-Methyldopa mono-O-sulfate
C12H15ClO3+K+,Clofibrate
C30H25O14+H+,"7-{3-[(6-carboxy-3,4,5-trihydroxyoxan-2-yl)oxy]-4-hydroxy-5-methoxyphenyl}-6,11-dihydroxy-3-(4-hydroxyphenyl)-2λ⁴,8-dioxatricyclo[7.3.1.0⁵,¹³]trideca-1(13),2,4,6,9,11-hexaen-2-ylium"
C8H11NO5S+K+,Dopamine 3-O-sulfate
C20H34AuO9PS+H+,Auranofin
C15H14O10S+H+,"[2,6-dihydroxy-4-(3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl)phenyl]oxidanesulfonic acid"
C35H42O8+H+,Moreollin
C19H16O9+H+,Urolithin B 3-O-glucuronide
C12H15N3O2S+K+,Albendazole
C11H8O5+K+,2-(4-methoxy-1-benzofuran-5-yl)-2-oxoacetic acid
C25H24O7+Na+,Artonin J
C3H5NO2+K+,3-Isoxazolidinone
C9H10Cl2N4+Na+,Apraclonidine
C36H34O16+Na+,"6-(3-{8-[2-(3,4-dihydroxyphenyl)-3,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-4-yl]-3,5,7-trihydroxy-3,4-dihydro-2H-1-benzopyran-2-yl}phenoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid"
C33H28O9+Na+,Asticolorin C
C12H12N2O3S+K+,dapsone hydroxylamine
C7H5F3O+K+,para-Trifluoromethylphenol
C5H9NO5+K+,L-N-Carboxymethylserine
C22H24O13+Na+,"3,4,5-trihydroxy-6-{4-hydroxy-5-methoxy-2-[1-oxo-1-(2,4,6-trihydroxyphenyl)propan-2-yl]phenoxy}oxane-2-carboxylic acid"
C25H30O13+Na+,Lippioside I
C20H20O14+Na+,"2,5-dihydroxy-6-(hydroxymethyl)-3-(3,4,5-trihydroxybenzoyloxy)oxan-4-yl 3,4,5-trihydroxybenzoate"
C20H28O7+K+,"3,4,5-trihydroxy-6-{[(2Z)-2-(phenylmethylidene)heptyl]oxy}oxane-2-carboxylic acid"
C6H15O13P3+H+,NTP
C8H10O5+Na+,Erinapyrone C
C11H17NO6S+K+,Orciprenaline-3-O-sulfate
C4H5FN2O2+K+,"5,6-Dihydro-5-fluorouracil"
C10H15N4O14P3+K+,Inosine triphosphate
C9H13NO6S+Na+,N-acetyl-S-(3-oxo-3-carboxy-n-propyl)cysteine
C10H9NO6+Na+,"2-{[hydroxy(6-hydroxy-2H-1,3-benzodioxol-5-yl)methylidene]amino}acetic acid"
C16H14ClN3O+K+,Chlordiazepoxide
C8H12O8+K+,"3,4,5-trihydroxy-6-(2-oxoethoxy)oxane-2-carboxylic acid"
C27H32O12+H+,"6-{[10-(but-3-enoyl)-3-hydroxy-2,2-dimethyl-8-oxo-6-propyl-2H,3H,4H,8H-pyrano[3,2-g]chromen-5-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C21H18O14+K+,"6-{[3,5-dihydroxy-4-oxo-2-(2,4,5-trihydroxyphenyl)-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C29H30O20+K+,"6-{[3-({6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl}oxy)-5-hydroxy-4-oxo-2-(3,4,5-trihydroxyphenyl)-4H-chromen-7-yl]oxy}-3,4,5-trihydroxyoxane-2-carboxylic acid"
C10H10ClN3+K+,"chondroitin sulfate E (GalNAc4,6diS-GlcA) proteoglycan"
C8H7NO5+K+,"3-Hydroxy-2-methylpyridine-4,5-dicarboxylate"
C9H8O8S+Na+,"3-[3,5-dihydroxy-4-(sulfooxy)phenyl]prop-2-enoic acid"
C7H11NO5S+K+,S-(3-oxo-3-carboxy-n-propyl)cysteine
C20H18O5+H+,"4-(3-methylbut-2-en-1-yl)-8,17-dioxatetracyclo[8.7.0.0²,⁷.0¹¹,¹⁶]heptadeca-1(10),2(7),3,5,11(16),12,14-heptaene-3,5,14-triol"
C17H18O10S+H+,"{[3-hydroxy-1-({4-methoxy-7-oxo-7H-furo[3,2-g]chromen-9-yl}oxy)-3-methylbutan-2-yl]oxy}sulfonic acid"
C7H13O10P+Na+,Sedoheptulose 7-phosphate(2-)
C16H14O9+Na+,"3,5,7-trihydroxy-6-methoxy-2-(2,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-4-one"
C16H22O8+Na+,"3,4,5-trihydroxy-6-[3-(4-methoxyphenyl)propoxy]oxane-2-carboxylic acid"
C30H48O2+Na+,"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol"
C22H28O8+K+,Citreoviridinol A1
C10H15N4O15P3+K+,Xanthosine 5-triphosphate
C20H22O11S+K+,"{4-[(E)-2-(3-hydroxy-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)ethenyl]phenyl}oxidanesulfonic acid"
C11H16N5O7PS+Na+,6-Methylthioguanosine monophosphate
C6H12O9S+K+,"[2,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-3-yl]oxidanesulfonic acid"
C26H26O14+H+,"3,4,5-trihydroxy-6-{[5-hydroxy-4-oxo-2-phenyl-8-(3,4,5-trihydroxyoxan-2-yl)-4H-chromen-7-yl]oxy}oxane-2-carboxylic acid"
C5H9NO3S+K+,Acetylcysteine
C20H17NO5+K+,Oxoglaucine
C17H31NO2+K+,Methyl 15-cyanopentadecanoate
C48H56N2O4+Na+,Bismurrayafoline E
C4H9NO5S+K+,L-Homocysteic acid
C5H12OS3+H+,Methyl 1-(methylsulfinyl)propyl disulfide
C6H13NO8S+K+,N-Sulfo-D-glucosamine
C11H12Cl2N2O+K+,Lofexidine
C14H25NO9S2+K+,6-Heptenyl glucosinolate
C16H20O3+K+,2-(1-hydroxy-4-methylpent-3-en-1-yl)-2-methyl-2H-chromen-8-ol
C17H25NO9S2+K+,4-Phenylbutyl glucosinolate
C12H22O14S+K+,"[4-hydroxy-2,5-bis(hydroxymethyl)-2-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxolan-3-yl]oxidanesulfonic acid"
C42H40O25+Na+,Apigenin 7-[p-coumaroyl-(->2)-[glucuronyl-(1->3)]-glucuronyl-(1->2)-glucuronide]
C26H26O18+Na+,Amritoside
C16H10N2O8S2+K+,Indigo Carmine
C30H18O10+K+,"4',4''',5,5'',7,7''-Hexahydroxy-3,8''-biflavone"
C45H36O22+Na+,Oolonghomobisflavan B
C14H22ClN3O2+K+,Metoclopramide
C17H20BrNO+K+,Bromodiphenhydramine
C27H32CaN2O6S2+K+,C.I. Acid Blue 3
C8H11NO6+K+,Lycoperdic acid
C13H9N3O2S+K+,Brassica oleracea Alkaloid
C9H8Cl2O4+Na+,"3,5-Dichloro-4-hydroxy-2-methoxy-6-methylbenzoic acid"
C19H20O9+Na+,"2-(4-benzoyl-3,5-dihydroxyphenoxy)-6-(hydroxymethyl)oxane-3,4,5-triol"
C8H11NO6S+Na+,Norepinephrine sulfate
C27H35NO3+K+,PC-M6
C7H13NO4S+K+,2-Methyl-2-[(1-oxo-2-propenyl)amino]-1-propanesulfonic acid
C41H44O21+K+,"6-[(2-{4-[(3-{[3,4-dihydroxy-4-({[(2E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy}methyl)oxolan-2-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]phenyl}-4-oxo-3,4-dihydro-2H-1-benzopyran-7-yl)oxy]-3,4,5-trihydroxyoxane-2-carboxylic acid"
C25H27O13+K+,Malvidin 3-(6-acetylglucoside)
C19H25N3O8S+K+,2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-[(1-hydroxy-3-oxo-1-phenylpropan-2-yl)sulfanyl]ethyl}-C-hydroxycarbonimidoyl)butanoic acid
C6H8O9S+K+,Ascorbic acid-2-sulfate
C11H12O7S+K+,{[4-(4-hydroxy-3-methoxyphenyl)-2-oxobut-3-en-1-yl]oxy}sulfonic acid
C8H12N2O2+K+,Pyridoxamine
C28H32O17+K+,"3-[(3-{[(4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-methoxy-4H-chromen-4-one"
C15H11ClO6+K+,Cyanidin
C15H8O5+K+,Coumesterol
C26H42O3+K+,Oryzarol
C38H47O22+K+,Cyanidin 3-(3-glucosyl-6-malonylglucoside) 4'-glucoside
